Title,,,,,,,Date,View,Link
"
Just Play 😎"
[Just Play!] 나비잠 (Sweet Dream) - 희철 X 민경훈 [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 11. 30.,"79,226",https://www.youtube.com/watch?v=JuFUx88oZc0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=79&t=0s
[Just Play!] 심술 (Grumpy) - 볼빨간 사춘기(Bolbbalgan 4) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 11. 24.,"104,412",https://www.youtube.com/watch?v=j8TIZFdLpwI&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=80&t=0s
[Just Play!] 이 소설의 끝을 다시 써보려 해 - 한동근 (Han Dong Geun) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 11. 17.,"55,547",https://www.youtube.com/watch?v=LGmnx9uLV5g&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=81&t=0s
"길가에 버려지다 - 이승환, 이효리, 전인권 - YouTube",,,,,,,2016. 11. 14.,"9,484",https://www.youtube.com/watch?v=X7hawE3WVdE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=82&t=0s
[Just Play!] Lucky Strike - Maroon 5 [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 11. 8.,"98,196",https://www.youtube.com/watch?v=9wuLR-aIEOA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=83&t=0s
[Just Play!] 우주를 줄게 (Galaxy) - 볼빨간 사춘기 (BOLBBALGAN4) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 10. 18.,"185,107",https://www.youtube.com/watch?v=4e2l94X9S24&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=84&t=0s
[Just Play!] 러시안 룰렛 (Russian Roulette) - Red Velvet (레드벨벳) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 9. 20.,"114,794",https://www.youtube.com/watch?v=BzLze6CKzVc&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=85&t=0s
[Just Play!] 내가 저지른 사랑 - 임창정 (Im Chang Jung) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 9. 8.,"55,844",https://www.youtube.com/watch?v=pobb6ffGPec&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=86&t=0s
"[Just Play!] Ring My Bell ""함부로 애틋하게 (Uncontrollably Fond) OST"" - 수지 (Suzy) [Guitar Cover｜기타 커버] - YouTube",,,,,,,2016. 9. 2.,"40,423",https://www.youtube.com/watch?v=k3KoJRqkACE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=87&t=0s
[Just Play!] 너 그리고 나 (NAVILLERA) - 여자친구 (GFRIEND) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 8. 16.,"86,855",https://www.youtube.com/watch?v=oHPMqgcM2II&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=88&t=0s
[Just Play!] 여름밤에 우린 (Summer Night You And I) - 스탠딩에그(Standing EGG) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 8. 9.,"42,651",https://www.youtube.com/watch?v=vXib4QSAb8k&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=89&t=0s
[Just Play!] 사람들이 움직이는 게 (How People Move) - 악동뮤지션 (AKMU) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 7. 28.,"28,956",https://www.youtube.com/watch?v=kQVDsNqHBMo&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=90&t=0s
[Just Play!] Wonderwall - Oasis (오아시스) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 6. 3.,"49,421",https://www.youtube.com/watch?v=KhXJtR4_hfg&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=91&t=0s
[Just Play!] 홍대와 건대 사이 (To Hongdae) - 장범준 (Jang Beom June) [Guitar Cover｜기타 커버] 홍건사 - YouTube,,,,,,,2016. 5. 31.,"59,127",https://www.youtube.com/watch?v=Wz_SFInCDOQ&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=92&t=0s
[Just Play!] 하늘바라기(Hopefully Sky)(Feat. 하림) - 정은지 (Jeong Eun Ji) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 5. 27.,"68,616",https://www.youtube.com/watch?v=-c1PjR8TkP4&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=93&t=0s
